0,TAMIL_SECTION,TAMIL_SUBDIVISION,TAMIL_CHAPTERS,TAMIL_VERSE,TAMIL_VERSE_SEGMENT_001,TAMIL_VERSE_SEGMENT_002,TAMIL_EXPLANATION,ENGLISH_SECTION,ENGLISH_SUBDIVISION,ENGLISH_CHAPTERS,ENGLISH_VERSE,ENGLISH_VERSE_SEGMENT_001,ENGLISH_VERSE_SEGMENT_002,ENGLISH_EXPLANATION
11,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,வானின் றுலகம் வழங்கி வருதலால் தானமிழ்தம் என்றுணரற் பாற்று,,,"மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்",VIRTUE,Introduction,The Excellence of Rain,The world survives because of the rains and therefore rain is known to be the nectar of immortality.,,,The world its course maintains through life that rain unfailing gives;Thus rain is known the true ambrosial food of all that lives.By the continuance of rain the world is preserved in existence; it is therefore worthy to be called ambrosia.
12,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉ மழை,,,"உண்பவர்க்குத் தக்க உணவுப் பொருள்களை விளைவித்துத் தருவதோடு, பருகுவோர்க்குத் தானும் ஓர் உணவாக இருப்பது மழையாகும்",VIRTUE,Introduction,The Excellence of Rain,"Oh rain! You not only create everything we eat,you are the indispensable food yourself.",,,"The rain makes pleasant food for eaters rise;As food itself, thirst-quenching draught supplies.Rain produces good food, and is itself food."
13,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின் றுடற்றும் பசி,,,"மழை பெய்யாமல் பொய்படுமானால், கடல் சூழ்ந்த அகன்ற உலகமாக இருந்தும் பசி உள்ளே நிலைத்து நின்று உயிர்களை வருத்தும்",VIRTUE,Introduction,The Excellence of Rain,"If the skies fail to rain, the world,though surrounded by sea, will yet suffer of hunger.",,,"If clouds, that promised rain, deceive, and in the sky remain,Famine, sore torment, stalks o'er earth's vast ocean-girdled plain.If the cloud, withholding rain, deceive (our hopes) hunger will long distress the sea-girt spacious world."
14,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால்,,,"மழை என்னும் வருவாய் வளம் குன்றி விட்டால், ( உணவுப் பொருள்களை உண்டாக்கும்) உழவரும் ஏர் கொண்டு உழமாட்டார்",VIRTUE,Introduction,The Excellence of Rain,"If the monsoons fail,farmers won’t till their lands to produce food.",,,"If clouds their wealth of waters fail on earth to pour,The ploughers plough with oxen's sturdy team no more.If the abundance of wealth imparting rain diminish, the labour of the plough must cease."
15,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை,,,பெய்யாமல் வாழ்வைக் கெடுக்க வல்லதும் மழை; மழையில்லாமல் வளம் கெட்டு நொந்தவர்க்கும் துணையாய் அவ்வாறே காக்க வல்லதும் மழையாகும்,VIRTUE,Introduction,The Excellence of Rain,It is the tormentor; it is the saviour of the tormented:the rain is everything for us.,,,"Tis rain works all: it ruin spreads, then timely aid supplies;As, in the happy days before, it bids the ruined rise.Rain by its absence ruins men; and by its existence restores them to fortune."
16,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண் பரிது,,,"வானத்திலிருந்து மழைத்துளி வீழ்ந்தால் அல்லாமல், உலகத்தில் ஓரறிவுயிராகிய பசும்புல்லின் தலையையும் காண முடியாது",VIRTUE,Introduction,The Excellence of Rain,"Unless drops of precious rain fall down,not even grass will sprout its head.",,,"If from the clouds no drops of rain are shed.'Tis rare to see green herb lift up its head.If no drop falls from the clouds, not even the green blade of grass will be seen."
17,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின்,,,"மேகம் கடலிலிருந்து நீரைக் கொண்டு அதனிடத்திலேயே பெய்யாமல் விடுமானால், பெரிய கடலும் தன் வளம் குன்றிப் போகும்",VIRTUE,Introduction,The Excellence of Rain,"Even the vast ocean will start shrinking,if the clouds that took the water away from it, don’t pour it back.",,,"If clouds restrain their gifts and grant no rain,The treasures fail in ocean's wide domain.Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain)."
18,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு,,,மழை பெய்யாமல் போகுமானால் இவ்வுலகத்தில் வானோர்க்காக நடைபெறும் திருவிழாவும் நடைபெறாது; நாள் வழிபாடும் நடைபெறாது,VIRTUE,Introduction,The Excellence of Rain,"Special offerings and daily rituals to gods will stop,if the skies dry up.",,,"If heaven grow dry, with feast and offering never more,Will men on earth the heavenly ones adore.If the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestials."
19,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,தானம் தவமிரண்டும் தங்கா வியனுலகம் வானம் வழங்கா தெனின்,,,"மழை பெய்யவில்லையானால், இந்த பெரிய உலகத்தில் பிறர் பொருட்டு செய்யும் தானமும்,தம் பொருட்டு செய்யும் தவமும் இல்லையாகும்.",VIRTUE,Introduction,The Excellence of Rain,"Charity and penance will both cease to exist in this world,if the clouds are not charitable.",,,"If heaven its watery treasures ceases to dispense,Through the wide world cease gifts, and deeds of 'penitence'.If rain fall not, penance and alms-deeds will not dwell within this spacious world."
20,அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,நீரின் றமையா துலகெனின் யார்யார்க்கும் வானின் றமையா தொழுக்கு,,,"எப்படிப்பட்டவர்க்கும் நீர் இல்லாமல் உலக வாழ்க்கை நடைபெறாது என்றால், மழை இல்லையானால் ஒழுக்கமும் நிலைபெறாமல் போகும்",VIRTUE,Introduction,The Excellence of Rain,World can’t survive without water and morality can’t exist without rains.,,,"When water fails, functions of nature cease, you say;Thus when rain fails, no men can walk in 'duty's ordered way'.If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water."
21,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து வேண்டும் பனுவல் துணிவு,,,ஒழுக்கத்தில் நிலைத்து நின்று பற்று விட்டவர்களின் பெருமையைச் சிறந்ததாக போற்றி கூறுவதே நூல்களின் துணிவாகும்.,VIRTUE,Introduction,The Greatness of Ascetics,"All books willingly conclude as the most excellent,the greatness of those with the right conduct who have given up attachment.",,,"The settled rule of every code requires, as highest good,Their greatness who, renouncing all, true to their rule have stood.The end and aim of all treatise is to extol beyond all other excellence, the greatness of those who, while abiding in the rule of conduct peculiar to their state, have abandoned all desire."
22,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று,,,"பற்றுக்களைத் துறந்தவர்களின் பெருமையை அளந்து கூறுதல், உலகத்தில் இதுவரை பிறந்து இறந்தவர்களை கணக்கிடுவதைப்போன்றது.",VIRTUE,Introduction,The Greatness of Ascetics,Trying to quantify the greatness of those who have overcome desire is like counting those who have died till now.,,,"As counting those that from the earth have passed away,'Tis vain attempt the might of holy men to say.To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead."
23,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,இருமை வகைதெரிந் தீண்டறம் பூண்டார் பெருமை பிறங்கிற் றுலகு,,,பிறப்பு வீடு என்பன போல் இரண்டிரண்டாக உள்ளவைகளின் கூறுபாடுகளை ஆராய்ந்தறிந்து அறத்தை மேற்கொண்டவரின் பெருமையே உலகத்தில் உயர்ந்தது,VIRTUE,Introduction,The Greatness of Ascetics,"The greatness of those who have known the nature of both worlds,And have eschewed desire to live a righteous life, is most admirable in this world.",,,"Their greatness earth transcends, who, way of both worlds weighed,In this world take their stand, in virtue's robe arrayed.The greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others)."
24,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,உரனென்னுந் தோட்டியான் ஓரைந்தும் காப்பான் வரனென்னும் வைப்பிற்கோர் வித்து,,,"அறிவு என்னும் கருவியினால் ஐம்பொறிகளாகிய யானைகளை அடக்கி காக்க வல்லவன், மேலான வீட்டிற்கு விதை போன்றவன்",VIRTUE,Introduction,The Greatness of Ascetics,"Using the ankus called resoluteness, one who controls the elephant named five senses, is sowing for future glory.",,,"He, who with firmness, curb the five restrains,Is seed for soil of yonder happy plains.He who guides his five senses by the hook of wisdom will be a seed in the world of heaven."
25,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் இந்திரனே சாலுங் கரி,,,"ஐந்து புலன்களாலாகும் ஆசைகளை ஒழித்தவனுடைய வல்லமைக்கு, வானுலகத்தாரின் தலைவனாகிய இந்திரனே போதுமான சான்று ஆவான்",VIRTUE,Introduction,The Greatness of Ascetics,"God, the king of heavens, is an example of what the ability to conquer one’s five senses can result in.",,,"Their might who have destroyed 'the five', shall soothly tellIndra, the lord of those in heaven's wide realms that dwell.Indra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five senses."
26,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,செயற்கரிய செய்வார் பெரியர் சிறியர் செயற்கரிய செய்கலா தார்,,,செய்வதற்கு அருமையான செயல்களை செய்ய வல்லவரே பெரியோர். செய்வதற்கு அரிய செயல்களைச் செய்யமாட்டாதவர் சிறியோர்.,VIRTUE,Introduction,The Greatness of Ascetics,What separates the great from the ordinary is their ability to do the seemingly impossible.,,,Things hard in the doing will great men do;Things hard in the doing the mean eschew.The great will do those things which is difficult to be done; but the mean cannot do them.
27,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,சுவையொளி ஊறோசை நாற்றமென் றைந்தின் வகைதெரிவான் கட்டே உலகு,,,"சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று சொல்லப்படும் ஐந்தின் வகைகளையும் ஆராய்ந்து அறிய வல்லவனுடைய அறிவில் உள்ளது உலகம்.",VIRTUE,Introduction,The Greatness of Ascetics,"One who has analysed and conquered the urges of taste, sight, touch, sound and smell, will control this world.",,,"Taste, light, touch, sound, and smell: who knows the way Of all the five,- the world submissive owns his sway.The world is within the knowledge of him who knows the properties of taste, sight, touch, hearing and smell."
28,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,நிறைமொழி மாந்தர் பெருமை நிலத்து மறைமொழி காட்டி விடும்,,,"பயன் நிறைந்த மொழிகளில் வல்ல சான்றோரின் பெருமையை, உலகத்தில் அழியாமல் விளங்கும் அவர்களுடைய மறைமொழிகளே காட்டிவிடும்.",VIRTUE,Introduction,The Greatness of Ascetics,"The words of those glorious people, who control their minds completely,become the gospel.",,,"The might of men whose word is never vain,The 'secret word' shall to the earth proclaim.The hidden words of the men whose words are full of effect, will shew their greatness to the world."
29,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,குணமென்னுங் குன்றேறி நின்றார் வெகுளி கணமேயுங் காத்தல் அரிது,,,"நல்ல பண்புகளாகிய மலையின்மேல் ஏறி நின்ற பெரியோர், ஒரு கணப்பொழுதே சினம் கொள்வார் ஆயினும் அதிலிருந்து ஒருவரைக் காத்தல் அரிதாகும்.",VIRTUE,Introduction,The Greatness of Ascetics,Those who have scaled the mountain of morality will not allow their anger to last for a moment.,,,"The wrath 'tis hard e'en for an instant to endure,Of those who virtue's hill have scaled, and stand secure.The anger of those who have ascended the mountain of goodness, though it continue but for a moment, cannot be resisted."
30,அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்க்கும் செந்தண்மை பூண்டொழுக லான்,,,"எல்லா உயிர்களிடத்திலும் செம்மையான அருளை மேற்கொண்டு ஒழுகுவதால், அறவோரே அந்தணர் எனப்படுவோர் ஆவர்.",VIRTUE,Introduction,The Greatness of Ascetics,"All (and only) those righteous people, who shower love on all living beings,can be classified as Anthanar*.",,,"Towards all that breathe, with seemly graciousness adorned they live;And thus to virtue's sons the name of 'Anthanar' men give.The virtuous are truly called Anthanar; because in their conduct towards all creatures they are clothed in kindness."
31,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,சிறப்பீனும் செல்வமும் ஈனும் அறத்தினூஉங்கு ஆக்கம் எவனோ உயிர்க்கு,,,அறம் சிறப்பையும் அளிக்கும்: செல்வத்தையும் அளிக்கும்: ஆகையால் உயிர்க்கு அத்தகைய அறத்தை விட நன்மையானது வேறு யாது?,VIRTUE,Introduction,Assertion of the Strength of Virtue,Righteousness yields good reputation and wealth;is there anything more precious?,,,"It yields distinction, yields prosperity; what gain
 Greater than virtue can a living man obtain?
 Virtue will confer heaven and wealth; what greater source of happiness can man possess ?"
32,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,அறத்தினூஉங் காக்கமும் இல்லை அதனை மறத்தலின் ஊங்கில்லை கேடு,,,ஒரு வருடைய வாழ்கைக்கு அறத்தை விட நன்மையானதும் இல்லை: அறத்தை போற்றாமல் மறப்பதை விடக்கொடியதும் இல்லை.,VIRTUE,Introduction,Assertion of the Strength of Virtue,Rectitude is the most precious possession;there is nothing more pernicious than straying from it.,,,"No greater gain than virtue aught can cause;
 No greater loss than life oblivious of her laws.
 There can be no greater source of good than (the practice of) virtue; there can be no greater source of evil than the forgetfulness of it."
33,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,ஒல்லும் வகையான அறவினை ஓவாதே செல்லும்வாய் எல்லாஞ் செயல்,,,"செய்யக்கூடிய வகையால், எக்காரணத்தாலும் விடாமல் செல்லுமிடமெல்லாம் அறச்செயலைப் போற்றிச் செய்ய வேண்டும்.",VIRTUE,Introduction,Assertion of the Strength of Virtue,"Keep doing the morally right things, in every possible manner,wherever you go.",,,"To finish virtue's work with ceaseless effort strive,
 What way thou may'st, where'er thou see'st the work may thrive.
 As much as possible, in every way, incessantly practise virtue."
34,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,மனத்துக்கண் மாசிலன் ஆதல் அனைத்தறன் ஆகுல நீர பிற,,,ஒருவன் தன்மனதில் குற்றம் இல்லாதவானாக இருக்க வேண்டும். அறம் அவ்வளவே: மனத்தூய்மை இல்லாத மற்றவை ஆரவாரத் தன்மை உடையவை.,VIRTUE,Introduction,Assertion of the Strength of Virtue,True moral integrity lies in being flawless in your thoughts;everything else is loud and blatant posturing.,,,"Spotless be thou in mind! This only merits virtue's name;
 All else, mere pomp of idle sound, no real worth can claim.
 Let him who does virtuous deeds be of spotless mind; to that extent is virtue; all else is vain show."
35,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,அழுக்கா றவாவெகுளி இன்னாச்சொல் நான்கும் இழுக்கா இயன்ற தறம்,,,"பொறாமை, ஆசை, சினம், கடுஞ்சொல் ஆகிய இந்த நான்கு குற்றங்களுக்கும் இடங்கொடுக்காமல் அவற்றைக் கடித்து ஒழுகுவதே அறமாகும்.",VIRTUE,Introduction,Assertion of the Strength of Virtue,"Righteousness is all about removing the four flaws –envy, desire, anger and harmful words.",,,"Tis virtue when, his footsteps sliding not through envy, wrath,
 Lust, evil speech-these four, man onwards moves in ordered path.
 That conduct is virtue which is free from these four things, viz, malice, desire, anger and bitter speech."
36,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,அன்றறிவாம் என்னா தறஞ்செய்க மற்றது பொன்றுங்கால் பொன்றாத் துணை,,,"இளைஞராக உள்ளவர், பிற்காலத்தில் பார்த்து கொள்ளலாம் என்று எண்ணாமல் அறம் செய்ய வேண்டும். அதுவே உடல் அழியும் காலத்தில் அழியா துணையாகும்.",VIRTUE,Introduction,Assertion of the Strength of Virtue,Do the righteous deeds now without waiting for senility to set in;they will remain your permanent companions then.,,,"Do deeds of virtue now. Say not, 'To-morrow we'll be wise';
 Thus, when thou diest, shalt thou find a help that never dies.
 Defer not virtue to another day; receive her now; and at the dying hour she will be your undying friend."
37,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,அறத்தா றிதுவென வேண்டா சிவிகை பொறுத்தானோ டூர்ந்தான் இடை,,,பல்லக்கை சுமப்பவனும் அதன்மேலிருந்து ஊர்ந்து செல்லுவோனுமாகிய அவர்களிடையே அறத்தின் பயன் இஃது என்று கூறவேண்டா.,VIRTUE,Introduction,Assertion of the Strength of Virtue,"One man lifting another on a palanquin,can’t be justified as the fruit of any prior moral deeds.",,,"Needs not in words to dwell on virtue's fruits: compare
 The man in litter borne with them that toiling bear!
 The fruit of virtue need not be described in books; it may be inferred from seeing the bearer of a palanquin and the rider therein."
38,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன் வாழ்நாள் வழியடைக்கும் கல்,,,ஒருவன் அறம் செய்ய தவறிய நாள் ஏற்படாதவாறு அறத்தை செய்வானானால் அதுவே அவன் உடலோடு வாழும் நாள் வரும் பிறவி வழியை அடைக்கும் கல்லாகும்.,VIRTUE,Introduction,Assertion of the Strength of Virtue,"Never let a day pass without a good deed;
 it makes this life fulfilling and the next unnecessary.",,,"If no day passing idly, good to do each day you toil,
 A stone it will be to block the way of future days of moil.
 If one allows no day to pass without some good being done, his conduct will be a stone to block up the passage to other births."
39,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,அறத்தான் வருவதே இன்பமற் றெல்லாம் புறத்த புகழும் இல,,,அறநெறியில் வாழ்வதன் பயனாக வருவதே இன்பமாகும். அறத்தோடு பொருந்தாமல் வருவன எல்லாம் இன்பம் இல்லாதவை: புகழும் இல்லாதவை.,VIRTUE,Introduction,Assertion of the Strength of Virtue,"True joy blossoms only due to righteous deeds;
 all else cause unhappiness and disrepute.",,,"What from virtue floweth, yieldeth dear delight;
 All else extern, is void of glory's light.
 Only that pleasure which flows from domestic virtue is pleasure; all else is not pleasure, and it is without praise."
40,அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,செயற்பால தோரும் அறனே ஒருவற்கு உயற்பால தோரும் பழி,,,ஒருவன் வாழ்நாளில் முயற்சி மேற்கொண்டு செய்யத்தக்கது அறமே. செய்யாமல் காத்து கொள்ளத்தக்கது பழியே.,VIRTUE,Introduction,Assertion of the Strength of Virtue,"A righteous deed deserves to be done; an evil deed ought to be avoided to
 protect oneself from infamy.",,,"Virtue' sums the things that should be done;
 'Vice' sums the things that man should shun.
 That is virtue which each ought to do, and that is vice which each should shun."
41,அறத்துப்பால்,இல்லறவியல்,இல்வாழ்க்கை,இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை,,,இல்லறத்தில் வாழ்பவனாகச் சொல்லப்படுகிறவன் அறத்தின் இயல்பை உடைய மூவருக்கும் நல்வழியில் நிலை பெற்ற துணையாவான்.,VIRTUE,Domestic Virtue,Domestic Life,"A good family person is one who supports all three relationships (parents, wife, children)
 in a balanced and righteous manner.",,,"The men of household virtue, firm in way of good, sustain
 The other orders three that rule professed maintain.
 He will be called a (true) householder, who is a firm support to the virtuous of the three orders in their good path."
42,அறத்துப்பால்,இல்லறவியல்,இல்வாழ்க்கை,துறந்தார்க்கும் துவ்வா தவர்க்கும் இறந்தார்க்கும் இல்வாழ்வான் என்பான் துணை,,,துறந்தவர்கும் வறியவர்க்கும் தன்னிடத்தே இறந்தவர்க்கும் இல்லறம் மேற்கொண்டு வாழ்கிறவன் துணையாவான்.,VIRTUE,Domestic Virtue,Domestic Life,"A good family person also extends support
 to saints, poor and needy.",,,"To anchorites, to indigent, to those who've passed away,
 The man for household virtue famed is needful held and stay.
 He will be said to flourish in domestic virtue who aids the forsaken, the poor, and the dead."
